ï»¿CO_UNIDADE;CO_CNES;NU_CNPJ_MANTENEDORA;TP_PFPJ;NIVEL_DEP;NO_RAZAO_SOCIAL;NO_FANTASIA;NO_LOGRADOURO;NU_ENDERECO;NO_COMPLEMENTO;NO_BAIRRO;CO_CEP;CO_ATIVIDADE;CO_CLIENTELA;TP_UNIDADE;CO_MUNICIPIO_GESTOR;NU_LATITUDE;NU_LONGITUDE;CO_NATUREZA_JUR;CO_TIPO_UNIDADE;CO_TIPO_ESTABELECIMENTO;CO_ATIVIDADE_PRINCIPAL;STAFF_ACS_ENDEMIAS;STAFF_ADMIN_GESTAO_APOIO;STAFF_DIAG_LAB_IMAGEM;STAFF_ENFERMAGEM;STAFF_FARMACIA;STAFF_MEDICOS;STAFF_ODONTOLOGIA;STAFF_OUTROS;STAFF_OUTROS_SUPERIOR_SAUDE;STAFF_SERVICOS_GERAIS;STAFF_TRANSPORTE_URGENCIA;Latitude;Longitude;Precisao_Tipo
4,30676E+12;2948133;;3;1;COMERCIO DE MEDICAMENTOS BRAIR LTDA;SAO JOAO FARMACIAS;GRECIA;1345;FARMACIA;CENTRO;92990000;4;1.0;43;430676;-29,9976311;-51,3063965;2062;;FARMACIA;8.0;0;0;0;0;1;0;0;0;0;0;0;-29,9976311;-51,3063965;GEOAPIFY | tentativa_1 | conf=0.25 | city=1 | street=None
4,30677E+12;7612230;;1;1;NAJARA BORGES MARX;CONSULTORIO ODONTOLOGICO DRA NAJARA BORGES MARX;RUA CECILIA MEIRELES;106;SALAS 1 E 2;CIDADE VERDE;92990000;4;1.0;22;430676;-29,997358;-51,304494;4000;;AMBULATORIO;1.0;0;0;0;0;0;0;1;0;0;0;0;-29,997358;-51,304494;GEOAPIFY | tentativa_1 | conf=0.6075 | city=1 | street=1
4,30676E+12;788996;;3;1;LABORATORIO PROEXAME LTDA;LABORATORIO PROEXAME;LAGUNA;230;;CENTRO;92990000;4;3.0;39;430676;-29,996464;-51,308463;2062;;UNIDADE DE APOIO DIAGNOSTICO;2.0;0;2;1;0;0;0;0;0;1;0;0;-29,996464;-51,308463;GEOAPIFY | tentativa_1 | conf=0.6339130434782609 | city=1 | street=0.9
4,30676E+12;864714;;3;1;INTERCLIN CLINICA DE ATENDIMENTO INTERDISCIPLINAR LTDA;INTERCLIN;MARIO RIBEIRO;143;SALA 7;CENTRO;92990000;4;1.0;22;430676;-29,990236;-51,313175;2062;;AMBULATORIO;1.0;0;0;0;0;0;0;0;0;1;0;0;-29,990236;-51,313175;GEOAPIFY | tentativa_1 | conf=0.2471186440677966 | city=1 | street=0.42857142857142855
4,30676E+12;545821;92665611000177.0;3;3;DIMED S A DISTRIBUIDORA DE MEDICAMENTOS;PANVEL FARMACIAS;GETULIO VARGAS;274;;CENTRO;92990000;4;1.0;43;430676;-29,998114;-51,305835;2046;;FARMACIA;8.0;0;0;0;0;1;0;0;0;0;0;0;-29,998114;-51,305835;GEOAPIFY | tentativa_1 | conf=0.72 | city=1 | street=0.81
4,30676E+12;4100794;;1;1;KARLO BITTENCOURT JOHNSTON;KARLO BITTENCOURT JOHNSTON;ESTRADA DA ARROZEIRA;745;;CENTRO;92990000;4;1.0;22;430676;-29,998257;-51,314104;4000;;AMBULATORIO;1.0;0;0;0;0;0;1;0;0;0;0;0;-29,998257;-51,314104;GEOAPIFY | tentativa_1 | conf=0.9 | city=1 | street=1
4,30677E+12;7096178;;1;1;LUCIA MOGLIA DUTRA;LUCIA MOGLIA DUTRA;RUA GRECIA;1117;;RESIDENCIAL ELDORADO;92990000;4;1.0;22;430676;-30,00038;-51,31708;4000;;AMBULATORIO;1.0;0;0;0;0;0;0;3;0;0;0;0;-30,00038;-51,31708;GEOAPIFY | tentativa_1 | conf=0.6942857142857144 | city=1 | street=1
4,30676E+12;3840247;;3;1;TS COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;MEDIFARMA;AVENIDA NESTOR JARDIM FILHO;475;;CENTRO;92990000;4;1.0;43;430676;-29,992878;-51,313903;2062;;FARMACIA;8.0;0;0;0;0;1;0;0;0;0;0;0;-29,992878;-51,313903;GEOAPIFY | tentativa_1 | conf=0.6407462686567165 | city=1 | street=1
4,30677E+12;7933495;92324706000127.0;3;3;PREFEITURA MUNICIPAL DE ELDORADO DO SUL;ESF CENTRO NOVO;RUA VACARIA;405;;CENTRO NOVO;92990000;4;1.0;2;430676;-29,996367;-51,323875;1244;;UNIDADE BASICA DE SAUDE;12.0;2;2;0;8;0;9;3;0;2;0;0;-29,996367;-51,323875;GEOAPIFY | tentativa_1 | conf=0.6942857142857144 | city=1 | street=1
4,30676E+12;2968347;;3;1;DROGARIA NASCIMENTO DANIELSSON LTDA;AGAFARMA DO COUNTRY;JOAO RICARDO JULIANO;161;LOJA 01;PARQUE ELDORADO;92990000;4;1.0;43;430676;-30,10452502;-51,65258234;2062;;FARMACIA;8.0;0;0;0;0;1;0;0;0;0;0;0;-30,10452502;-51,65258234;GEOAPIFY | tentativa_1 | conf=0.45 | city=1 | street=0.9
