NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;DS_ENDERECO;NU_ENDERECO;DS_COMPLEMENTO;NO_BAIRRO;CO_CEP;TP_SITUACAO_FUNCIONAMENTO;Qtd_Prof;Qtd_Matri_Inf;Qtd_Matri_Fund;Qtd_Matri_Med;Qtd_Matri_Prof;Qtd_Matri_Eja;Qtd_Matri_Esp;Latitude;Longitude;Precisao_Tipo
2024;Lajeado;4311403;CARACOLA ESCOLA DE EDUCACAO INFANTIL;43141730;4;1;1;RUA ALVINO RITTER;330;;SAO CRISTOVAO;95913236;1;5;146;0;0;0;0;0;-29,447159;-51,9544824;ROOFTOP
2024;Lajeado;4311403;CARROSSEL CENTRO ESCOLA INFANTIL;43217540;4;1;1;RUA VISCONDE DE TAMANDARE;412;;AMERICANO;95900584;1;5;46;0;0;0;0;0;-29,4456122;-51,9696541;ROOFTOP
2024;Lajeado;4311403;CENTRO DE EDUCACAO BASICA GUSTAVO ADOLFO;43083536;4;4;1;MIGUEL TOSTES;425;;SAO CRISTOVAO;95913192;1;29;168;1533;621;0;0;80;-29,4497374;-51,9601247;ROOFTOP
2024;Lajeado;4311403;CENTRO DE EDUCACAO PROFISSIONAL - CEP - UNIVATES;43083676;4;2;1;AVENIDA AVELINO TALINI;171;CAIXA POSTAL 155;UNIVERSITARIO;95914014;1;5;0;0;0;2832;0;28;-29,4485861;-51,9467733;GEOMETRIC_CENTER
2024;Lajeado;4311403;CENTRO DE FORMACAO PROFISSIONAL SENAI LAJEADO;43214339;4;1;1;AVENIDA SENADOR ALBERTO PASQUALINI;1874;;SAO CRISTOVAO;95913160;1;15;0;0;0;612;0;14;-29,4452527;-51,9625364;ROOFTOP
2024;Lajeado;4311403;COL ESTADUAL PRES CASTELO BRANCO;43083544;2;0;1;R RUA BENTO GONCALVES 291;291;;CENTRO;95900174;1;30;0;0;2427;120;0;90;-29,4677578;-51,9617606;ROOFTOP
2024;Lajeado;4311403;COLEGIO CENECISTA JOAO BATISTA DE MELLO;43083595;4;4;1;RUA GERMANO BERNER;272;;FLORESTAL;95900052;1;14;48;741;210;0;0;18;-29,4597449;-51,9709322;ROOFTOP
2024;Lajeado;4311403;COLEGIO EVANGELICO ALBERTO TORRES;43082564;4;4;1;RUA ALBERTO TORRES;219;;CENTRO;95900188;1;31;456;2400;639;258;0;44;-29,4623558;-51,9629772;GEOMETRIC_CENTER
2024;Lajeado;4311403;COLEGIO MADRE BARBARA;43083153;4;4;1;RUA RUA CORONEL JULIO MAY;340;;CENTRO;95900178;1;63;636;2532;399;0;0;114;-29,467284;-51,9645481;GEOMETRIC_CENTER
2024;Lajeado;4311403;COLEGIO SINODAL CONVENTOS;43083277;4;4;1;PEDRO THEOBALDO BREIDENBACH;2332;;CONVENTOS;95908000;1;34;124;1527;309;0;0;40;-29,4308931;-52,0320934;ROOFTOP
2024;Lajeado;4311403;E E IND ENS FUN GATEN;43147593;2;0;1;ROD RODOVIA ERS130 00 TERRA INDI;0;TERRA INDI;JARDIM DO CEDRO;95901312;1;2;14;72;0;0;0;6;-29,475581;-51,9888712;APPROXIMATE
2024;Lajeado;4311403;E M E F PORTO NOVO;43083650;3;0;1;RUA SABIA;1280;;CARNEIROS;95913530;1;17;128;2307;0;0;0;78;-29,4436096;-51,9460369;ROOFTOP
