CO_UNIDADE;CO_CNES;NU_CNPJ_MANTENEDORA;TP_PFPJ;NIVEL_DEP;NO_RAZAO_SOCIAL;NO_FANTASIA;NO_LOGRADOURO;NU_ENDERECO;NO_COMPLEMENTO;NO_BAIRRO;CO_CEP;CO_ATIVIDADE;CO_CLIENTELA;TP_UNIDADE;CO_MUNICIPIO_GESTOR;NU_LATITUDE;NU_LONGITUDE;CO_NATUREZA_JUR;CO_TIPO_ESTABELECIMENTO;CO_ATIVIDADE_PRINCIPAL;STAFF_ACS_ENDEMIAS;STAFF_ADMIN_GESTAO_APOIO;STAFF_DIAG_LAB_IMAGEM;STAFF_ENFERMAGEM;STAFF_FARMACIA;STAFF_MEDICOS;STAFF_ODONTOLOGIA;STAFF_OUTROS;STAFF_OUTROS_SUPERIOR_SAUDE;STAFF_SERVICOS_GERAIS;STAFF_TRANSPORTE_URGENCIA
4,3114E+12;2857871;;3;1;J C DE FREITAS NONNENMACHER;J C DE FREITAS NONNENMACHER;BORGES DE MEDEIROS;558;AP 501;CENTRO;95900120;4;3.0;39;431140;-29,46829664;-51,9708252;2135;Ambulatório;1.0;0;0;0;0;0;0;0;0;3;0;0
4,3114E+12;2945673;;3;1;3MH SERVICOS MEDICOS LTDA;3MH SERVICOS MEDICOS;SALDANHA MARINHO;736;;CENTRO;95900082;4;1.0;22;431140;-29,46366349;-51,96947336;2062;Ambulatório;1.0;0;0;0;0;0;4;0;0;0;0;0
4,3114E+12;517267;;3;1;SOMA SERVICOS ODONTOLOGICOS LTDA;SOMA SERVICOS ODONTOLOGICOS;RUA BENTO GONCALVES;1016;SALA 401;CENTRO;95900026;4;1.0;22;431140;-29,46160839;-51,96495384;2062;Ambulatório;1.0;0;0;0;0;0;0;5;0;0;0;0
4,31141E+12;7609736;8,7298E+13;3;3;MUNICIPIO DE LAJEADO;MEDICAMENTOS DO ESTADO MUNICIPIO DE LAJEADO;RUA JULIO DE CASTILHOS;229;;CENTRO;95900170;4;3.0;43;431140;-29,46840873;-51,96246207;1244;Farmácia;8.0;0;5;0;0;2;0;0;0;0;1;0
4,31141E+12;9915311;;3;1;PNEUMOCLINICA BM LTDA;PNEUMOCLINICA BM;AVENIDA ALBERTO MULLER;586;;ALTO DO PARQUE;95913265;4;1.0;36;431140;-29,45041673;-51,9536376;2062;Ambulatório;1.0;0;0;0;0;0;2;0;0;0;0;0
4,31141E+12;9531866;;1;1;BRUNA LETICIA BUTZKE;BRUNA LETICIA BUTZKE;AVENIDA PIRAI;300;SALA 602;SAO CRISTOVAO;95913148;4;1.0;22;431140;-29,44333488;-51,96928024;4000;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31141E+12;7790406;;1;1;CARMINE ELY FERRARI;CARMINE ELY FERRARI;RUA DUQUE DE CAXIAS;82;;AMERICANO;95900474;4;3.0;22;431140;-29,4578214;-51,9661717;4000;Unidade de Apoio Diagnóstico;2.0;0;0;0;0;0;0;0;0;0;0;0
4,31141E+12;9988858;;3;1;PHYSALIS SERVICOS MEDICOS E ODONTOLOGICOS LTDA;PHYSALIS SAUDE E BEM ESTAR;AVENIDA BENJAMIN CONSTANT;1194;SALA 604;CENTRO;95900056;4;1.0;36;431140;-29,46073963;-51,96821809;2062;Ambulatório;1.0;0;0;0;0;0;1;1;0;0;0;0
4,3114E+12;688029;;3;1;SESC ADMINISTRACAO REGIONAL NO ESTADO DO RIO GRANDE DO SUL;SESC LAJEADO;SILVA JARDIM;135;;CENTRO;95900138;4;1.0;36;431140;-29,46916533;-51,96443081;3077;Ambulatório;1.0;0;1;0;0;0;0;1;5;2;0;0
4,31141E+12;9871020;;3;1;RUSCHEL TRASEL MEDICINA E SAUDE LTDA;RUSCHEL TRASEL MEDICINA E SAUDE;RUA ARTHUR BERNARDES;1411;;ALTO DO PARQUE;95913286;4;1.0;22;431140;-29,45247205;-51,95097685;2062;Ambulatório;1.0;0;0;0;0;0;2;0;0;0;0;0
