NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;DS_ENDERECO;NU_ENDERECO;DS_COMPLEMENTO;NO_BAIRRO;CO_CEP;TP_SITUACAO_FUNCIONAMENTO;Qtd_Prof;Qtd_Matri_Inf;Qtd_Matri_Fund;Qtd_Matri_Med;Qtd_Matri_Prof;Qtd_Matri_Eja;Qtd_Matri_Esp;Latitude;Longitude;Precisao_Tipo
2024;Porto Alegre;4314902;5001 IEI MAEZINHA DO CEU;43190499;Privada;2;1;R VINTE CINCO DE OUTUBRO;295;;SARANDI;91140500;1;5;114;0;0;0;0;2;-29,9841799;-51,1215672;GEOMETRIC_CENTER
2024;Porto Alegre;4314902;5002 IEI JOAO PAULO II;43190456;Privada;3;1;R FREDERICO MENTZ;118;;FARRAPOS;90250370;1;9;196;0;0;0;0;8;-29,9786187;-51,1962313;ROOFTOP
2024;Porto Alegre;4314902;5003 EEI ESTRELINHA DO CEU;43185304;Privada;2;1;R ULYSSES DE ALENCASTRO BRANDAO;205;;SARANDI;91140400;1;11;244;0;0;0;0;24;-29,9896734;-51,1199078;ROOFTOP
2024;Porto Alegre;4314902;5004 EEI ESTRELINHA DO AMANHA;43185495;Privada;2;1;AV DONARIO BRAGA;159;;RUBEM BERTA;91160360;1;8;160;0;0;0;0;0;-29,99821;-51,0996292;ROOFTOP
2024;Porto Alegre;4314902;5006 EEI TRENZINHO DA ALEGRIA;43189059;Privada;2;1;R SENHOR DO BOM FIM;956;;SARANDI;91140380;1;5;198;0;0;0;0;8;-29,9855114;-51,115571;ROOFTOP
2024;Porto Alegre;4314902;5007 IEI EUGENIA CONTE;43185398;Privada;3;1;RUA K;120;;RUBEM BERTA;91160170;1;13;410;0;0;0;0;0;-29,9940412;-51,1059151;ROOFTOP
2024;Porto Alegre;4314902;5008 EEI JOANA DARC;43189024;Privada;2;1;R VINTE QUATRO DE AGOSTO VL MINUANO;375;;SARANDI;91110560;1;8;128;0;0;0;0;4;-30,028446;-51,139719;GEOMETRIC_CENTER
2024;Porto Alegre;4314902;5009 IEI SANTA CATARINA;43188141;Privada;2;1;R JOSUE DE CASTRO;290;;SARANDI;91120110;1;6;174;0;0;0;0;4;-29,9784934;-51,137101;ROOFTOP
2024;Porto Alegre;4314902;5010 IEI ACOMPAR NUCLEO II - SANTO AGOSTINHO;43190588;Privada;2;1;AV CALDEIA;210;;SARANDI;91130540;1;10;346;0;0;0;0;14;-29,9848879;-51,1087311;ROOFTOP
2024;Porto Alegre;4314902;5012 ECEI UMBERTO NEGRINI;43190685;Privada;2;1;R DONA TEODORA;160;;FARRAPOS;90240300;1;7;198;0;0;0;0;4;-29,9883564;-51,2003861;ROOFTOP
