CO_UNIDADE;CO_CNES;NU_CNPJ_MANTENEDORA;TP_PFPJ;NIVEL_DEP;NO_RAZAO_SOCIAL;NO_FANTASIA;NO_LOGRADOURO;NU_ENDERECO;NO_COMPLEMENTO;NO_BAIRRO;CO_CEP;CO_ATIVIDADE;CO_CLIENTELA;TP_UNIDADE;CO_MUNICIPIO_GESTOR;NU_LATITUDE;NU_LONGITUDE;CO_NATUREZA_JUR;CO_TIPO_UNIDADE;CO_TIPO_ESTABELECIMENTO;CO_ATIVIDADE_PRINCIPAL;STAFF_ACS_ENDEMIAS;STAFF_ADMIN_GESTAO_APOIO;STAFF_DIAG_LAB_IMAGEM;STAFF_ENFERMAGEM;STAFF_FARMACIA;STAFF_MEDICOS;STAFF_ODONTOLOGIA;STAFF_OUTROS;STAFF_OUTROS_SUPERIOR_SAUDE;STAFF_SERVICOS_GERAIS;STAFF_TRANSPORTE_URGENCIA
4,31491E+12;5590329;;1;1;PAULO RENATO KRAHL FELL;PAULO RENATO KRAHL FELL;RUA DOS ANDRADAS;1646;SALA 47;CENTRO;90020012;4;1.0;22;431490;-30.03;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;5590388;;1;1;LUCIANE CUNHA;LUCIANE CUNHA;RUA DOS ANDRADAS;1646;47;CENTRO;90020012;4;1.0;22;431490;-30.03;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;3345165;;3;1;MEDISA SS LTDA SERVICOS MEDICOS;MEDISA SS LTDA SERVICOS MEDICOS;TRAVESSA FRANCISCO LEONARDO TRUDA;40;CONJUNTO 164;CENTRO;90010050;4;3.0;36;431490;-30.03;-51.23;2240;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;3345211;;3;1;PORTOFISIO CLINICA DE FISIOTERAPIA LTDA;PORTOFISIO;PRACA PEREIRA PAROBE;130;CJ 1001;CENTRO;90030170;4;1.0;36;431490;-30.03;-51.23;2062;;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,3149E+12;3345254;;3;1;PRONTOCLIN CLINICA MEDICA DE URGENCIA LTDA;CLINICA E PRONTO SOCORRO TERESOPOLIS;AV NONOAI;1449;;NONOAI;91720000;4;3.0;20;431490;-30.03;-51.23;2062;;Ambulatório;1.0;0;1;0;0;0;3;0;0;0;0;0
4,3149E+12;3345270;;1;1;RODRIGO FINARDI RODRIGUES;RODRIGO FINARDI RODRIGUES;AV CRISTOVAO COLOMBO;1918;CJ 504;FLORESTA;90560001;4;3.0;22;431490;-30.01;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,3149E+12;3345319;;3;1;SDP SERVICO DE DIAGNOSTICO PNEUMOLOGICO LTDA;SDP SERVICO DE DIAGNOSTICO PNEUMOLOGICO LTDA;AVSOLEDADE;569;10 ANDAR TBETA;TRES FIGUEIRAS;90470430;4;3.0;36;431490;-30.03;-51.17;2240;;Ambulatório;1.0;0;0;0;0;0;10;0;0;0;0;0
4,31491E+12;5444357;;1;1;ALFREDO RONE PRADO OLIVEIRA;ALFREDO RONE PRADO OLIVEIRA;RUA DOS ANDRADAS;1137;SALA 1703;CENTRO;90020000;4;1.0;22;431490;-30.03;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,31491E+12;5582970;;1;1;TANIA BITTENCOURT DORNELLES;TANIA BITTENCOURT DORNELLES;RUA DOS ANDRADAS;1727;93;CENTRO;90020013;4;3.0;22;431490;-30.03;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;8011060;9,29636E+13;3;3;PREFEITURA MUNICIPAL DE PORTO ALEGRE;DIRETORIA DE VIGILANCIA EM SAUDE;PADRE CACIQUE;372;;MENINO DEUS;90810240;3;3.0;50;431490;-30.06;-51.23;1244;;Laboratório de Saúde Pública;19.0;85;18;0;58;5;26;8;47;8;3;0
4,3149E+12;845493;;3;1;CARE CLUB PORTO ALEGRE MEDICINA ESPORTIVA LTDA;CARE CLUB PORTO ALEGRE MEDICINA ESPORTIVA LTDA;DONA LAURA;570;;RIO BRANCO;90430091;4;1.0;36;431490;-30.03;-51.2;2062;;Ambulatório;1.0;0;1;0;0;0;2;0;0;3;0;0
4,3149E+12;832146;;3;1;RAFAEL PICCINI FISIOTERAPIA E PILATES LTDA;RAFAEL PICCINI FISIOTERAPIA E PILATES LTDA;DOS ANDRADAS;1697;SALA 61;CENTRO HISTORICO;90020007;4;1.0;36;431490;-30.03;-51.22;2062;;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,3149E+12;842125;;3;1;RAIA DROGASIL S A;DROGA RAIA FILIAL 598 SANTANA A;JERONIMO ORNELAS;241;;SANTANA;90040341;4;1.0;43;431490;-30.04;-51.21;2046;;Farmácia;8.0;0;0;0;0;6;0;0;0;0;0;0
4,3149E+12;678902;;1;1;AQUILINO ALBERTO SAAVEDRA CACHAFEIRO;AQUILINO ALBERTO SAAVEDRA CACHAFEIRO;EDUARDO PRADO;2170;;IPANEMA;91751000;4;1.0;22;431490;-30.14;-51.22;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;680044;;3;1;SABRINA BRINKER ODONTOLOGIA ESPECIALIZADA EIRELI;SABRINA BRINKER ODONTOLOGIA;LUCIANA DE ABREU;471;SALA 504;MOINHOS DE VENTO;90570060;4;1.0;36;431490;-30.03;-51.2;2062;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,3149E+12;680745;;3;1;NUTRISKIN CLINICA DE NUTRICAO SOCIEDADE SIMPLES LTDA;NUTRISKIN;MOSTARDEIRO;5;SALA 810 SALA 812;INDEPENDENCIA;90430001;4;1.0;36;431490;-30.03;-51.21;2240;;Ambulatório;1.0;0;0;0;0;0;1;0;0;1;0;0
4,3149E+12;685402;;3;1;J L F CLINICA MEDICA SOCIEDADE SIMPLES LTDA;J L F CLINICA MEDICA SOCIEDADE SIMPLES LTDA;TITO LIVIO ZAMBECARI;702;;MONT SERRAT;90450230;4;1.0;36;431490;-30.03;-51.19;2240;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;689661;;3;1;VOE ESPACO TERAPEUTICO LTDA;VOE ESPACO TERAPEUTICO;AV CORONEL LUCAS DE OLIVEIRA;505;S 504 505;MONT SERRAT;90480200;4;1.0;36;431490;-30.03;-51.2;2062;;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,3149E+12;658243;;1;1;MIRIAN CASSIA DIAS DA SILVA;MIRIAN CASSIA DIAS DA SILVA;RUA ALMIRANTE BARROSO;735;501;FLORESTA;90220021;4;1.0;22;431490;-30.02;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;664065;;3;1;BRS HEALTHCARE GESTAO DE SAUDE LTDA;TELLAMED;FRANCISCO DE LEONARDO TRUDA;40;SALA 92 SALA 93;CENTRO HISTORIC;90010050;4;1.0;36;431490;-30.05;-51.21;2062;;Ambulatório;1.0;0;1;0;0;0;1;0;0;0;0;0
4,3149E+12;797103;;3;1;VIDA SAUDE CENTRO MEDICO DE DIAGNOSTICO S A;SALUTE;ECONOMISTA NILO WULFF;375;ANEXO 897 898;RESTINGA;91790000;4;1.0;36;431490;-30.15;-51.15;2054;;Ambulatório;1.0;0;1;0;0;0;2;1;0;0;0;0
4,3149E+12;670480;;3;1;UNIMED PORTO ALEGRE COOPERATIVA MEDICA LTDA;POSTO DE COLETA PETROPOLIS;AV SOLEDADE;569;ANDAR 6;PETROPOLIS;90470340;4;3.0;39;431490;-30.03;-51.23;2143;;Ambulatório;1.0;0;0;0;2;0;0;0;0;0;0;0
4,3149E+12;677817;;3;1;CLINICA TELOKEN SOCIEDADE SIMPLES;CLINICA TELOKEN;CARLOS GOMES;403;CONJ 604 E 605;AUXILIADORA;90480003;4;1.0;36;431490;-30.06;-51.17;2232;;Ambulatório;1.0;0;3;0;0;0;2;0;0;0;0;0
